Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
fft.irfft2,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.8267,,"10,000 FLOPs (1000 elements, C=10000)",high,"Inverse 2-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.83,0.0710,14.0845,0.0019,np.fft.irfft2(x),"x: (1024,1024)","[432364696, 434030449, 433410854]",72869688,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L314,baseline,10
fft.fftn,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,0.7183,,"10,000 FLOPs (1000 elements, C=10000)",medium,"N-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.72,0.0820,12.1951,0.0654,np.fft.fftn(x),"x: (1024,1024)","[751501532, 840926922, 753167285]",168435361,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L339,baseline,10
fft.ifftn,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,0.7693,,"10,000 FLOPs (1000 elements, C=10000)",high,"Inverse N-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.77,0.0856,11.6822,0.0493,np.fft.ifftn(x),"x: (1024,1024)","[803317434, 875728839, 806644726]",175707140,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L363,baseline,10
fft.rfftn,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.7013,,"10,000 FLOPs (1000 elements, C=10000)",medium,"N-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.70,0.0668,14.9701,0.1290,np.fft.rfftn(x),"x: (1024,1024)","[366041252, 455466642, 367707005]",68526092,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L387,baseline,10
fft.irfftn,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.8267,,"10,000 FLOPs (1000 elements, C=10000)",high,"Inverse N-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.83,0.0708,14.1243,0.0019,np.fft.irfftn(x),"x: (1024,1024)","[432364696, 434030449, 433410854]",72720975,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L423,baseline,10
fft.hfft,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,2.2743,,"10,000 FLOPs (1000 elements, C=10000)",high,FFT of Hermitian-symmetric signal. Cost: 5*n_out*ceil(log2(n_out)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,2.27,0.3634,2.7518,0.0170,np.fft.hfft(x),"x: (1048576,)","[2381467114, 2453878519, 2384794406]",746112380,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L443,baseline,10
fft.ihfft,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.4244,,"10,000 FLOPs (1000 elements, C=10000)",medium,Inverse FFT of Hermitian signal. Cost: 5*n*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.42,0.0722,13.8504,0.1080,np.fft.ihfft(x),"x: (1048576,)","[443361242, 532786632, 445026995]",148207455,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L462,baseline,10
linalg.cholesky,benchmarked,Linalg,n^3,4.0000,0.5350,,"131,072 FLOPs (n=32, C=32768)",high,Cholesky decomposition. Cost: $n^3$.,,0.54,0.0346,115.6069,0.0002,np.linalg.cholesky(A),"A: (1024,1024)","[5745012772, 5746678587, 5745012772]",728009826,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L45,moderate,10
linalg.qr,benchmarked,Linalg,"m*n*min(m,n)",4.0000,2.7316,,"4,000 FLOPs (C=1000)",high,"QR decomposition. Cost: $m \cdot n \cdot \min(m,n)$.",,2.73,0.4927,8.1185,0.0413,np.linalg.qr(A),"A: (1024,1024)","[29327982061, 29330079463, 31476590935]",10358642929,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L83,moderate,10
linalg.eig,benchmarked,Linalg,n^3,4.0000,14.5964,,"131,072 FLOPs (n=32, C=32768)",medium,Eigendecomposition. Cost: $n^3$.,,14.60,1.7472,2.2894,0.1273,np.linalg.eig(A),"A: (1024,1024)","[163560804541, 156727584723, 127741075235]",36732097538,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L119,moderate,10
linalg.eigh,benchmarked,Linalg,n^3,4.0000,4.6253,,"131,072 FLOPs (n=32, C=32768)",high,Symmetric eigendecomposition. Cost: $n^3$.,,4.63,0.6022,6.6423,0.0050,np.linalg.eigh(A),"A: (1024,1024)","[49795457031, 49311418466, 49663612761]",12659651127,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L155,moderate,10
linalg.eigvals,benchmarked,Linalg,n^3,4.0000,7.0728,,"131,072 FLOPs (n=32, C=32768)",medium,Eigenvalues only. Cost: $n^3$.,,7.07,0.8645,4.6270,0.0550,np.linalg.eigvals(A),"A: (1024,1024)","[79645804781, 75943243603, 71340451775]",18175664749,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L192,moderate,10
linalg.eigvalsh,benchmarked,Linalg,n^3,4.0000,1.5505,,"131,072 FLOPs (n=32, C=32768)",high,Symmetric eigenvalues. Cost: $n^3$.,,1.55,0.1505,26.5781,0.0002,np.linalg.eigvalsh(A),"A: (1024,1024)","[16649561681, 16648400766, 16644603561]",3164416648,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L228,moderate,10
linalg.svd,benchmarked,Linalg,"m*n*min(m,n)",4.0000,8.9457,,"4,000 FLOPs (C=1000)",medium,"Singular value decomposition; cost ~ O(min(m,n)*m*n).",,8.95,1.1376,3.5162,0.0840,np.linalg.svd(A),"A: (1024,1024)","[96054010861, 96544297033, 82943736995]",23915836847,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_svd.py#L67,moderate,10
linalg.svdvals,benchmarked,Linalg,"m*n*min(m,n)",4.0000,2.8094,,"4,000 FLOPs (C=1000)",high,"Singular values only. Cost: m*n*min(m,n) (Golub-Reinsch).",,2.81,0.4127,9.6923,0.0384,np.linalg.svdvals(A),"A: (1024,1024)","[30120401961, 30165253113, 32191919285]",8675713772,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_decompositions.py#L274,moderate,10
linalg.solve,benchmarked,Linalg,n^3,4.0000,0.6690,,"131,072 FLOPs (n=32, C=32768)",medium,Solve Ax=b. Cost: $n^3$.,,0.67,0.0536,74.6269,0.1570,"np.linalg.solve(A, b)","A: (1024,1024), b: (1024,)","[7180789151, 7182886303, 9329398175]",1125862911,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_solvers.py#L50,moderate,10
linalg.inv,benchmarked,Linalg,n^3,4.0000,2.0003,,"131,072 FLOPs (n=32, C=32768)",medium,Matrix inverse. Cost: $n^3$ (LU + solve).,,2.00,0.1887,21.1977,0.0559,np.linalg.inv(A),"A: (1024,1024)","[21476382111, 21478479263, 23624991135]",3967030675,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_solvers.py#L92,moderate,10
linalg.lstsq,benchmarked,Linalg,"m*n*min(m,n)",4.0000,2.9676,,"4,000 FLOPs (C=1000)",high,"Least squares. Cost: m*n*min(m,n) (LAPACK gelsd/SVD).",,2.97,0.4302,9.2980,0.0249,"np.linalg.lstsq(A, b, rcond=None)","A: (1024,1024), b: (1024,)","[31823631007, 31864008989, 33236367561]",9045316164,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_solvers.py#L138,moderate,10
linalg.pinv,benchmarked,Linalg,"m*n*min(m,n)",4.0000,10.9467,,"4,000 FLOPs (C=1000)",medium,"Pseudoinverse. Cost: m*n*min(m,n) (via SVD).",,10.95,2.6041,1.5360,0.0681,np.linalg.pinv(A),"A: (1024,1024)","[117539353661, 118029639833, 104429079795]",54747510933,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_solvers.py#L178,moderate,10
linalg.det,benchmarked,Linalg,n^3,4.0000,0.6670,,"131,072 FLOPs (n=32, C=32768)",medium,Determinant. Cost: $n^3$.,,0.67,0.0533,75.0469,0.1574,np.linalg.det(A),"A: (1024,1024)","[7160063645, 7162160797, 9308673455]",1120538106,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L84,moderate,10
linalg.slogdet,benchmarked,Linalg,n^3,4.0000,0.6670,,"131,072 FLOPs (n=32, C=32768)",medium,Sign + log determinant. Cost: $n^3$.,,0.67,0.0533,75.0469,0.1574,np.linalg.slogdet(A),"A: (1024,1024)","[7160063391, 7162160543, 9308673435]",1120742184,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L123,moderate,10
linalg.cond,benchmarked,Linalg Delegates,"m*n*min(m,n)",4.0000,2.9318,,"4,000 FLOPs (C=1000)",high,"Condition number. Cost: m*n*min(m,n) (via SVD).",,2.93,0.4371,9.1512,0.0017,np.linalg.cond(A),"A: (512,512)","[3934113497, 3934929460, 3946132305]",1148677874,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L339,moderate,10
linalg.matrix_rank,benchmarked,Linalg Delegates,"m*n*min(m,n)",4.0000,2.9318,,"4,000 FLOPs (C=1000)",high,"Matrix rank. Cost: m*n*min(m,n) (via SVD).",,2.93,0.4377,9.1387,0.0017,np.linalg.matrix_rank(A),"A: (512,512)","[3934118703, 3934934666, 3946137511]",1150307726,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L383,moderate,10
linalg.tensorinv,benchmarked,Linalg Delegates,n^3 (delegates to inv),4.0000,2.2304,,"131,072 FLOPs (n=32, C=32768)",high,Weight=4 (same as linalg.inv). Reshapes to 2D then calls inv. Cost n^3 in formula.,,2.23,0.2463,16.2404,0.0006,"np.linalg.tensorinv(A, ind=2)","A: (8,8,8,8)","[5846832, 5853366, 5846832]",1264054,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_solvers.py#L269,moderate,10
linalg.tensorsolve,benchmarked,Linalg Delegates,n^3 (delegates to solve),4.0000,0.9282,,"131,072 FLOPs (n=32, C=32768)",high,Weight=4 (same as linalg.solve). Reshapes to 2D then calls solve. Cost n^3 in formula.,,0.93,0.0839,47.6758,0.0016,"np.linalg.tensorsolve(A, b)","A: (8,8,8,8), b: (8,8)","[2433162, 2439821, 2433162]",430397,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_solvers.py#L224,moderate,10
linalg.cross,benchmarked,Linalg Delegates,6*n,1.0000,1.7413,,"1,000 FLOPs (C=1000)",high,Delegates to `me.cross` which charges `numel(output)` FLOPs.,,1.74,3.3076,0.3023,0.0465,"np.linalg.cross(a, b)","a: (1000000,3), b: (1000000,3)","[98478050, 108009598, 104478091]",388571181,,baseline,10
linalg.matmul,benchmarked,Linalg Delegates,MNK,1.0000,2.0009,,"1,000 FLOPs (C=1000)",high,Delegates to `me.matmul` which charges `m*k*n` FLOPs (FMA=1).,,2.00,1.3932,0.7178,0.0002,"np.linalg.matmul(A, B)","A: (512,512), B: (512,512)","[2685103983, 2685937106, 2685628312]",3661346910,,baseline,10
linalg.matrix_norm,benchmarked,Linalg Delegates,"numel (fro/L1/Linf) or 4*m*n*min(m,n) (ord=2/nuc)",1.0000,1.1225,,"1,000 FLOPs (1000 elements)",high,"Weight=1 (baked into cost function). Elementwise norms cost numel. SVD-based norms (ord=2, nuc) cost 4*m*n*min(m,n) — the 4x is baked in for SVD consistency.",,1.12,0.2024,4.9407,0.0360,np.linalg.matrix_norm(A),"A: (512,512)","[5622748, 6038991, 5884892]",2077385,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L289,baseline,10
linalg.matrix_power,benchmarked,Linalg Delegates,(ceil(log2(k))+popcount(k)-1)*n^3,1.0000,2.0030,,"10,000 FLOPs (1000 elements, C=10000)",high,Matrix power. Cost: $(\lfloor\log_2 k\rfloor + \text{popcount}(k) - 1) \cdot n^3$ (exponentiation by squaring).,,2.00,0.4316,2.3170,0.0002,"np.linalg.matrix_power(A, 5)","A: (64,64), n=5","[15752245, 15758779, 15752245]",6646475,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_compound.py#L116,baseline,10
linalg.multi_dot,benchmarked,Linalg Delegates,sum of chain MNK costs,1.0000,1.0029,,"1,000 FLOPs (C=1000)",high,Chain matmul. Cost: sum of optimal chain matmul costs (CLRS §15.2).,,1.00,0.2153,4.6447,0.0009,"np.linalg.multi_dot([A, B, C])","A: (128,64), B: (64,128), C: (128,64)","[21016315, 21054953, 21032740]",8839020,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_compound.py#L68,baseline,10
linalg.norm,benchmarked,Linalg Delegates,"numel (fro/L1/Linf) or 4*m*n*min(m,n) (ord=2/nuc)",1.0000,2.2412,,"1,000 FLOPs (1000 elements)",high,"Weight=1 (baked into cost function). Elementwise norms cost numel. SVD-based norms (ord=2, nuc) cost 4*m*n*min(m,n) — the 4x is baked in for SVD consistency.",,2.24,0.6245,1.6013,0.0361,np.linalg.norm(x),"x: (10000000,)","[214116731, 230009679, 224116731]",122275816,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L187,baseline,10
linalg.outer,benchmarked,Linalg Delegates,M*N,1.0000,1.0001,,"1,000 FLOPs (C=1000)",high,Delegates to `me.outer` which charges `m*n` FLOPs.,,1.00,1.1337,0.8821,0.0000,"np.linalg.outer(a, b)","a: (5000,), b: (5000,)","[250024028, 250039682, 250034069]",554932888,,baseline,10
linalg.tensordot,benchmarked,Linalg Delegates,product of free * contracted dims,1.0000,2.0001,,"1,000 FLOPs (C=1000)",high,Delegates to `me.tensordot` which charges FLOPs based on contraction.,,2.00,0.5089,1.9650,0.0000,"np.linalg.tensordot(A, B, axes=1)","A: (64,64,64), B: (64,64,64)","[21475585963, 21476419086, 21476110292]",10699767686,,baseline,10
linalg.trace,benchmarked,Linalg Delegates,"min(m,n)",1.0000,0.7872,,"1,000 FLOPs (n=1000, C=1000)",high,Blacklisted per reviewer — datetime ops not in scope.,,1.09,0.3628,2.7563,0.0000,np.linalg.trace(A),"A: (10000,10000) [np.ones]","[108731, 108731, 108731]",71042,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L45,baseline,10
linalg.vecdot,benchmarked,Linalg Delegates,batch*K,1.0000,2.4841,,"1,000 FLOPs (1000-element vector, C=1000)",medium,Delegates to `me.vecdot` which charges `2*n` FLOPs.,,2.48,0.5579,1.7924,0.0654,"np.linalg.vecdot(A, B)","A: (1000,512), B: (1000,512)","[11694688, 13321682, 12718729]",5593153,,baseline,10
linalg.vector_norm,benchmarked,Linalg Delegates,numel,1.0000,2.2412,,"1,000 FLOPs (1000 elements)",high,Vector norm. Cost: numel (or 2*numel for general p-norm).,,2.24,1.1385,0.8783,0.0361,np.linalg.vector_norm(x),"x: (10000000,)","[214116731, 230009679, 224116731]",222907683,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/_properties.py#L238,baseline,10
dot,benchmarked,Contractions,MNK,1.0000,2.0012,,"1,000 FLOPs (C=1000)",high,Dot product; cost = M*K*N (FMA=1).,,2.00,1.4051,0.7117,0.0002,"np.dot(A, B)","A: (512,512), B: (512,512)","[2685103983, 2685937078, 2685937022]",3692552746,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L619,baseline,10
matmul,benchmarked,Contractions,MNK,1.0000,2.0012,,"1,000 FLOPs (C=1000)",high,Matrix multiplication; cost = M*K*N (FMA=1).,,2.00,1.3807,0.7243,0.0002,"np.matmul(A, B)","A: (512,512), B: (512,512)","[2685103983, 2685937078, 2685937022]",3628406734,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L655,baseline,10
inner,benchmarked,Contractions,N (a.size),1.0000,2.6010,,"1,000 FLOPs (1000-element vector, C=1000)",medium,Inner product; cost = N (FMA=1).,,2.60,0.5863,1.7056,0.0736,"np.inner(a, b)","a: (1000000,), b: (1000000,)","[22829921, 26009654, 26009598]",11480154,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L681,baseline,10
vdot,benchmarked,Contractions,N (a.size),1.0000,2.6010,,"1,000 FLOPs (1000-element vector, C=1000)",medium,Dot product with conjugation; cost = N (FMA=1).,,2.60,0.5856,1.7077,0.0736,"np.vdot(a, b)","a: (1000000,), b: (1000000,)","[22829921, 26009654, 26009598]",11466213,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L739,baseline,10
vecdot,benchmarked,Contractions,batch * K (output_size * contracted_axis),1.0000,2.6019,,"1,000 FLOPs (1000-element vector, C=1000)",medium,Vector dot product along last axis.,,2.60,0.5576,1.7934,0.0735,"np.vecdot(A, B)","A: (1000,512), B: (1000,512)","[11694688, 13321654, 13321598]",5589383,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L485,baseline,10
outer,benchmarked,Contractions,M*N,1.0000,1.0002,,"1,000 FLOPs (C=1000)",high,Outer product of two vectors; cost = M*N.,,1.00,1.1328,0.8828,0.0000,"np.outer(a, b)","a: (5000,), b: (5000,)","[250024028, 250039654, 250039598]",554495980,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L697,baseline,10
tensordot,benchmarked,Contractions,product of free * contracted dims,1.0000,2.0001,,"1,000 FLOPs (C=1000)",high,Tensor dot product along specified axes.,,2.00,0.5076,1.9701,0.0000,"np.tensordot(A, B, axes=1)","A: (64,64,64), B: (64,64,64), axes=1","[21475585963, 21476419058, 21476419002]",10672136921,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/__init__.py#L74,baseline,10
kron,benchmarked,Contractions,numel(output),1.0000,1.0002,,"1,000 FLOPs (1000 elements)",high,Kronecker product; cost proportional to output size.,,1.00,1.1531,0.8672,0.0000,"np.kron(A, B)","A: (64,64), B: (64,64)","[167793697, 167806390, 167806334]",378782165,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L755,baseline,10
einsum,benchmarked,Contractions,product of index dims (FMA=1),1.0000,2.0012,,"1,000 FLOPs (C=1000)",high,Generalized Einstein summation.,,2.00,0.1338,7.4738,0.0002,"np.einsum('ij,jk->ik', A, B)","A: (512,512), B: (512,512), subscripts='ij,jk->ik'","[2685103983, 2685937078, 2685937022]",351740209,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_einsum.py#L139,baseline,10
roots,benchmarked,Polynomial,degree^3,16.0000,10.2924,,"32,000 FLOPs (n=100 deg=10, C=2000)",high,"Return roots of polynomial with given coefficients. Cost: $n^3$ (companion matrix eig, simplified).",,10.29,1.9369,8.2606,0.0420,np.roots(c),"c: (101,)","[102095583, 110123593, 102924427]",37924915,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L217,moderate,10
polyval,benchmarked,Polynomial,n * degree (FMA=1),1.0000,2.0214,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,"Evaluate polynomial at given points. Cost: $m \cdot \text{deg}$ (Horner's method, FMA=1).",,2.02,0.7014,1.4257,0.0000,"np.polyval(c, x)","c: (101,), x: (1000000,)","[2021420470, 2021425593, 2021417915]",1373284400,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L78,baseline,10
polyfit,benchmarked,Polynomial,2 * n * (degree+1)^2,1.0000,1.1977,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Least squares polynomial fit. Cost: 2 * m * (deg+1)^2 FLOPs.,,1.20,0.3746,2.6695,0.0000,"np.polyfit(x, y, 100)","x: (1000000,), y: (1000000,), degree=100","[244347826566, 244347831689, 244347823985]",149626487897,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L187,baseline,10
polyadd,benchmarked,Polynomial,degree + 1,1.0000,10.8861,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,"Add two polynomials. Cost: max(n1, n2) FLOPs.",,10.89,7.3313,0.1364,0.0055,"np.polyadd(c, d)","c: (101,), d: (101,)","[10917, 10995, 11035]",14498,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L96,baseline,10
polysub,benchmarked,Polynomial,degree + 1,1.0000,10.8861,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,"Difference (subtraction) of two polynomials. Cost: max(n1, n2) FLOPs.",,10.89,7.3651,0.1358,0.0055,"np.polysub(c, d)","c: (101,), d: (101,)","[10917, 10995, 11035]",14565,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L113,baseline,10
polymul,benchmarked,Polynomial,(degree+1)^2,1.0000,2.0976,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Multiply polynomials. Cost: n1 * n2 FLOPs.,,2.10,0.7839,1.2757,0.0003,"np.polymul(c, d)","c: (101,), d: (101,)","[213897, 213975, 214015]",156580,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L158,baseline,10
polydiv,benchmarked,Polynomial,(degree+1)^2,1.0000,0.1393,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Divide one polynomial by another. Cost: n1 * n2 FLOPs.,,0.14,1.4615,0.6842,0.0042,"np.polydiv(c, d)","c: (101,), d: (101,)","[14127, 14205, 14245]",291911,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L174,baseline,10
polyder,benchmarked,Polynomial,degree + 1,1.0000,11.7564,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Differentiate polynomial. Cost: n FLOPs.,,11.76,20.2300,0.0494,0.0067,np.polyder(c),"c: (101,)","[11744, 11874, 11888]",40006,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L127,baseline,10
polyint,benchmarked,Polynomial,degree + 1,1.0000,10.7960,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Integrate polynomial. Cost: n FLOPs.,,10.80,23.5053,0.0425,0.0073,np.polyint(c),"c: (101,)","[10774, 10904, 10918]",46483,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L140,baseline,10
poly,benchmarked,Polynomial,degree^2,1.0000,2.1195,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Polynomial from roots. Cost: $n^2$ FLOPs.,,2.12,10.5347,0.0949,0.0003,np.poly(r),"r: (100,)","[211876, 211954, 211994]",2062663,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_polynomial.py#L204,baseline,10
random.standard_normal,benchmarked,Random,numel(output),16.0000,22.3069,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,22.31,10.2815,1.5562,0.0001,np.random.standard_normal(10000000),"output: (10000000,)","[2230672130, 2230895083, 2230693184]",2013098135,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L119,moderate,10
random.standard_exponential,benchmarked,Random,numel(output),16.0000,27.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,27.06,7.5213,2.1273,0.0000,np.random.standard_exponential(10000000),"output: (10000000,)","[2706290621, 2706353011, 2706228129]",1472648741,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L121,moderate,10
random.standard_cauchy,benchmarked,Random,numel(output),16.0000,45.6145,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,45.61,20.5333,0.7792,0.0000,np.random.standard_cauchy(10000000),"output: (10000000,)","[4561367789, 4561590738, 4561450385]",4020367925,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L133,moderate,10
random.standard_gamma,benchmarked,Random,numel(output),16.0000,27.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,27.06,7.7138,2.0742,0.0000,"np.random.standard_gamma(1.0, 10000000)","output: (10000000,)","[2706290642, 2706353032, 2706228150]",1510345446,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L135,moderate,10
random.standard_t,benchmarked,Random,numel(output),16.0000,71.1389,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,71.14,29.8832,0.5354,0.0000,"np.random.standard_t(3, 10000000)","output: (10000000,)","[7113894332, 7113768294, 7113919871]",5851057714,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L134,moderate,10
random.poisson,benchmarked,Random,numel(output),16.0000,43.9992,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,44.00,30.8160,0.5192,0.0000,"np.random.poisson(5.0, 10000000)","output: (10000000,)","[4399924921, 4399857753, 4400059269]",6033709540,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L124,moderate,10
random.binomial,benchmarked,Random,numel(output),16.0000,28.9996,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.00,20.4958,0.7806,0.0000,"np.random.binomial(10, 0.5, 10000000)","output: (10000000,)","[2899962364, 2899953294, 2900031664]",4013032967,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L125,moderate,10
random.beta,benchmarked,Random,numel(output),16.0000,88.5899,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,88.59,39.3822,0.4063,0.0000,"np.random.beta(2.0, 5.0, 10000000)","output: (10000000,)","[8858989002, 8859154503, 8858499346]",7710939754,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L151,moderate,10
random.chisquare,benchmarked,Random,numel(output),16.0000,29.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.06,7.8306,2.0433,0.0000,"np.random.chisquare(2, 10000000)","output: (10000000,)","[2906290621, 2906353011, 2906228129]",1533208096,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L145,moderate,10
random.dirichlet,benchmarked,Random,numel(output),16.0000,120.8423,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,120.84,50.0509,0.3197,0.0000,"np.random.dirichlet([1.0, 2.0, 3.0], 10000000)","alpha: (3,), size=10000000","[12084057801, 12084582941, 12084231305]",9799849982,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L157,moderate,10
random.exponential,benchmarked,Random,numel(output),16.0000,28.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,28.06,7.6413,2.0939,0.0000,"np.random.exponential(1.0, 10000000)","output: (10000000,)","[2806290642, 2806353032, 2806228150]",1496146094,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L123,moderate,10
random.f,benchmarked,Random,numel(output),16.0000,93.4150,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,93.41,39.1102,0.4091,0.0000,"np.random.f(5, 10, 10000000)","output: (10000000,)","[9341495643, 9341982826, 9341443339]",7657678467,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L150,moderate,10
